Build Type,Date, Time, Application,Environment,Release,Publish Type,App Job Name, App Job Build Number,Spinner Job Name, Spinner Job Build Number,App Job Duration,Spinner Job Duration,Total Execution,Total Time (In mins.secs)
,7/18/2016,6:56:40,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,422,PLM-WINDPLM-DB,366,18 mins 15 secs,0 mins 44 secs,18 mins 59 secs,18.98
,7/18/2016,8:56:23,WINDPLM,DEV3,wind_dev_4_3_IB,all,PLM-WINDPLM-APP,423,PLM-WINDPLM-DB,367,17 mins 48 secs,0 mins 39 secs,18 mins 27 secs,18.45
,7/18/2016,9:14:06,WINDPLM,QA3,Release_4_3,all,PLM-WINDPLM-APP,424,PLM-WINDPLM-DB,368,17 mins 44 secs,0 mins 38 secs,18 mins 22 secs,18.37
,7/18/2016,13:05:20,ENERGYPLM,QA1,Release_6_0_90,all,PLM-ENERGYPLM-APP,282,PLM-ENERGYPLM-DB,211,27 mins 10 secs,0 mins 29 secs,27 mins 40 secs,27.67
,7/18/2016,14:06:08,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,425,PLM-WINDPLM-DB,369,26 mins 19 secs,0 mins 47 secs,27 mins 7 secs,27.12
,7/19/2016,0:05:34,WINDPLM,DEV3,wind_dev_4_3_IB,all,PLM-WINDPLM-APP,426,PLM-WINDPLM-DB,370,23 mins 28 secs,0 mins 46 secs,24 mins 14 secs,24.23
,7/19/2016,3:48:59,WINDPLM,DEV3,wind_dev_4_3_IB,all,PLM-WINDPLM-APP,427,PLM-WINDPLM-DB,371,9 mins 55 secs,0 mins 38 secs,10 mins 34 secs,10.57
,7/19/2016,5:37:37,WINDPLM,QA3,Release_4_3,all,PLM-WINDPLM-APP,428,PLM-WINDPLM-DB,372,17 mins 55 secs,0 mins 39 secs,18 mins 34 secs,18.57
,7/19/2016,8:51:37,WINDPLM,DEV3,wind_dev_4_3_IB,db,PLM-WINDPLM-APP,429,PLM-WINDPLM-DB,373,13 mins 34 secs,0 mins 43 secs,14 mins 18 secs,14.3
,7/19/2016,11:13:50,ENERGYPLM,QA1,Release_6_0_90,all,PLM-ENERGYPLM-APP,283,PLM-ENERGYPLM-DB,212,18 mins 5 secs,0 mins 29 secs,18 mins 35 secs,18.58
,7/19/2016,13:58:01,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,430,PLM-WINDPLM-DB,374,19 mins 25 secs,1 mins 41 secs,21 mins 7 secs,21.12
,7/20/2016,0:04:40,WINDPLM,DEV3,wind_dev_4_3_IB,all,PLM-WINDPLM-APP,431,PLM-WINDPLM-DB,375,22 mins 36 secs,0 mins 48 secs,23 mins 24 secs,23.4
,7/20/2016,3:02:00,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,432,PLM-WINDPLM-DB,376,20 mins 21 secs,0 mins 46 secs,21 mins 8 secs,21.13
,7/20/2016,3:53:49,WINDPLM,DEV3,wind_dev_4_3_IB,db,PLM-WINDPLM-APP,433,PLM-WINDPLM-DB,377,13 mins 59 secs,0 mins 42 secs,14 mins 42 secs,14.7
,7/20/2016,6:50:07,WINDPLM,QA2,Release_4_4,all,PLM-WINDPLM-APP,434,PLM-WINDPLM-DB,378,19 mins 1 secs,0 mins 38 secs,19 mins 40 secs,19.67
,7/20/2016,7:07:58,WINDPLM,DEV4,wind_dev_4_4,all,PLM-WINDPLM-APP,435,PLM-WINDPLM-DB,379,17 mins 43 secs,0 mins 49 secs,18 mins 32 secs,18.53
,7/20/2016,8:05:41,WINDPLM,QA3,Release_4_3,all,PLM-WINDPLM-APP,436,PLM-WINDPLM-DB,380,17 mins 6 secs,0 mins 39 secs,17 mins 45 secs,17.75
,7/20/2016,8:55:55,WINDPLM,DEV3,wind_dev_4_3_IB,all,PLM-WINDPLM-APP,437,PLM-WINDPLM-DB,381,17 mins 15 secs,0 mins 37 secs,17 mins 53 secs,17.88
,7/20/2016,10:42:21,ENERGYPLM,QA1,Release_6_0_90,all,PLM-ENERGYPLM-APP,284,PLM-ENERGYPLM-DB,213,19 mins 39 secs,0 mins 31 secs,20 mins 11 secs,20.18
,7/20/2016,10:58:24,WINDPLM,QA2,Release_4_4,db,PLM-WINDPLM-APP,438,PLM-WINDPLM-DB,382,15 mins 25 secs,0 mins 41 secs,16 mins 6 secs,16.1
,7/20/2016,13:52:29,WINDPLM,DEV4,wind_dev_4_4,db,PLM-WINDPLM-APP,439,PLM-WINDPLM-DB,383,13 mins 22 secs,0 mins 47 secs,14 mins 9 secs,14.15
,7/21/2016,0:00:52,WINDPLM,DEV3,wind_dev_4_3_IB,all,PLM-WINDPLM-APP,440,PLM-WINDPLM-DB,384,19 mins 2 secs,0 mins 46 secs,19 mins 48 secs,19.8
,7/21/2016,3:49:02,WINDPLM,DEV3,wind_dev_4_3_IB,all,PLM-WINDPLM-APP,441,PLM-WINDPLM-DB,385,10 mins 3 secs,0 mins 36 secs,10 mins 40 secs,10.4
